RES_LAD23CD,WORK_LAD23CD,flow
E06000002,E07000174,2
E06000002,E07000175,7
E06000002,E07000176,3
E06000002,E07000177,7
E06000002,E07000178,3
E06000002,E07000179,3
E06000002,E07000180,4
E06000002,E07000181,2
E06000002,E07000192,1
E06000002,E07000194,1
E06000002,E07000195,2
E06000002,E07000196,2
E06000002,E07000197,25
E06000002,E07000199,3
E06000002,E07000202,3
E06000002,E07000207,2
E06000002,E07000210,4
E06000002,E07000211,2
E06000002,E07000212,3
E06000002,E07000213,7
E06000002,E07000214,3
E06000002,E07000217,2
E06000002,E07000219,1
E06000002,E07000220,3
E06000002,E07000221,6
E06000002,E07000222,6
E06000002,E07000224,2
E06000002,E07000225,7
E06000002,E07000228,3
E06000002,E07000236,3
E06000002,E07000238,1
E06000002,E07000240,4
E06000002,E07000241,4
E06000002,E07000242,1
E06000002,E07000243,1
E06000002,E07000244,1
E06000002,E07000245,5
E06000002,E08000001,5
E06000002,E08000002,1
E06000002,E08000003,18
E06000002,E08000004,4
E06000002,E08000005,1
E06000002,E08000006,12
E06000002,E08000007,1
E06000002,E08000009,11
E06000002,E08000010,6
E06000002,E08000011,3
E06000002,E08000012,20
E06000002,E08000013,3
E06000002,E08000014,7
E06000002,E08000015,9
E06000002,E08000016,7
E06000002,E08000017,23
E06000002,E08000018,9
E06000002,E08000019,18
E06000002,E08000021,202
E06000002,E08000022,78
E06000002,E08000023,85
E06000002,E08000024,275
E06000002,E08000025,19
E06000002,E08000026,6
E06000002,E08000027,5
E06000002,E08000028,6
E06000002,E08000029,6
E06000002,E08000030,11
E06000002,E08000031,11
E06000002,E08000032,31
E06000002,E08000033,4
E06000002,E08000034,9
E06000002,E08000035,120
E06000002,E08000036,52
E06000002,E08000037,120
E06000002,E09000001,14
E06000002,E09000002,2
E06000002,E09000003,6
E06000002,E09000004,1
E06000002,E09000005,2
E06000002,E09000006,3
E06000002,E09000007,6
E06000002,E09000008,3
E06000002,E09000009,5
E06000002,E09000010,4
E06000002,E09000011,1
E06000002,E09000012,5
E06000002,E09000013,9
E06000002,E09000015,6
E06000002,E09000017,12
E06000002,E09000018,5
E06000002,E09000019,6
E06000002,E09000020,1
E06000002,E09000021,2
E06000002,E09000022,4
E06000002,E09000025,3
E06000002,E09000027,1
