outla,inla,moves
E06000002,E07000041,2.5208
E06000002,E07000042,1.2411
E06000002,E07000045,3.7634999999999996
E06000002,E07000046,1.2328
E06000002,E07000061,16.2182
E06000002,E07000062,12.5369
E06000002,E07000064,6.2521
E06000002,E07000066,2.5991
E06000002,E07000067,1.2736
E06000002,E07000070,6.3501
E06000002,E07000071,5.0718
E06000002,E07000073,2.5468
E06000002,E07000075,2.5188
E06000002,E07000076,5.0739
E06000002,E07000077,8.9092
E06000002,E07000078,2.6088
E06000002,E07000079,1.3142
E06000002,E07000081,11.8272
E06000002,E07000083,6.5781
E06000002,E07000084,2.4755000000000003
E06000002,E07000085,2.4692999999999996
E06000002,E07000086,3.7016
E06000002,E07000089,1.2405
E06000002,E07000090,1.2383
E06000002,E07000091,1.2332
E06000002,E07000092,2.4735
E06000002,E07000093,6.177099999999999
E06000002,E07000094,2.4638
E06000002,E07000096,3.6058
E06000002,E07000098,2.3958
E06000002,E07000099,3.6192
E06000002,E07000102,2.4050000000000002
E06000002,E07000103,3.5994
E06000002,E07000105,6.1506
E06000002,E07000106,3.0762
E06000002,E07000107,1.5326
E06000002,E07000108,7.6941
E06000002,E07000109,1.5344
E06000002,E07000110,15.448899999999998
E06000002,E07000111,1.5351
E06000002,E07000112,1.5415
E06000002,E07000113,1.5498
E06000002,E07000116,4.6309000000000005
E06000002,E07000117,1.2776
E06000002,E07000118,3.34
E06000002,E07000119,1.383
E06000002,E07000121,15.2619
E06000002,E07000122,5.150599999999999
E06000002,E07000123,17.881600000000002
E06000002,E07000124,1.3096
E06000002,E07000125,2.5668
E06000002,E07000127,3.3151
E06000002,E07000129,3.8148
E06000002,E07000130,8.9135
E06000002,E07000132,1.2651
E06000002,E07000134,2.5511
E06000002,E07000135,1.2578
E06000002,E07000137,8.5221
E06000002,E07000138,5.7273
E06000002,E07000139,4.2953
E06000002,E07000140,1.4181
E06000002,E07000141,4.306
E06000002,E07000142,1.4339
E06000002,E07000143,2.4678
E06000002,E07000145,21.975500000000004
E06000002,E07000146,2.4283
E06000002,E07000147,6.0973
E06000002,E07000148,9.765
E06000002,E07000170,5.4702
E06000002,E07000171,6.8145
E06000002,E07000172,6.7663
E06000002,E07000173,9.4757
E06000002,E07000174,5.4244
E06000002,E07000175,1.3568
E06000002,E07000176,6.7764999999999995
E06000002,E07000177,8.9518
E06000002,E07000178,8.923
E06000002,E07000179,1.2667
E06000002,E07000180,6.3989
E06000002,E07000192,2.4107000000000003
E06000002,E07000193,8.5597
E06000002,E07000195,1.2986
E06000002,E07000197,7.2992
E06000002,E07000200,4.4341
E06000002,E07000202,6.6468
E06000002,E07000203,1.4088
E06000002,E07000209,7.1731
E06000002,E07000211,1.4705
E06000002,E07000212,5.7523
E06000002,E07000214,2.8617
E06000002,E07000215,2.8810000000000002
E06000002,E07000216,1.4286
E06000002,E07000217,4.2743
E06000002,E07000218,1.12
E06000002,E07000219,2.2173999999999996
E06000002,E07000220,7.948599999999999
E06000002,E07000221,2.2542
E06000002,E07000222,3.3679999999999994
E06000002,E07000224,3.8108000000000004
E06000002,E07000225,3.7950999999999997
E06000002,E07000226,8.8469
E06000002,E07000227,2.5033000000000003
E06000002,E07000229,8.7683
E06000002,E07000234,6.8124
E06000002,E07000235,2.7298
E06000002,E07000236,2.698
E06000002,E07000237,8.1691
E06000002,E07000238,5.4279
E06000002,E07000239,1.3345
E06000002,E07000240,2.4692
E06000002,E07000241,4.820600000000001
E06000002,E07000242,2.3982
E06000002,E07000243,4.833
E06000002,E07000244,7.779599999999999
E06000002,E07000245,3.3254
E06000002,E08000001,20.580800000000004
E06000002,E08000002,8.6464
E06000002,E08000003,60.6386
E06000002,E08000004,4.6226
E06000002,E08000005,12.3369
E06000002,E08000006,25.030900000000003
E06000002,E08000007,6.926400000000001
E06000002,E08000008,6.1715
E06000002,E08000009,11.8445
E06000002,E08000010,11.0714
E06000002,E08000011,8.8823
E06000002,E08000012,56.7559
E06000002,E08000013,3.3236
E06000002,E08000014,11.9387
E06000002,E08000015,11.291599999999999
E06000002,E08000016,5.2736
E06000002,E08000017,21.2349
E06000002,E08000018,15.4901
E06000002,E08000019,51.4999
E06000002,E08000021,154.47199999999998
E06000002,E08000022,57.328900000000004
E06000002,E08000023,42.861000000000004
E06000002,E08000024,78.8263
E06000002,E08000025,73.8791
E06000002,E08000026,17.118899999999996
E06000002,E08000027,10.683399999999999
E06000002,E08000028,21.8984
E06000002,E08000029,4.9902
E06000002,E08000030,17.581599999999998
E06000002,E08000031,14.050799999999999
E06000002,E08000032,49.7062
E06000002,E08000033,9.2808
E06000002,E08000034,31.4144
E06000002,E08000035,120.5393
E06000002,E08000036,35.2684
E06000002,E08000037,65.1369
E06000002,E09000002,10.417499999999999
E06000002,E09000003,8.0109
E06000002,E09000004,5.2903
E06000002,E09000005,9.475
E06000002,E09000006,5.2649
E06000002,E09000007,3.2211
E06000002,E09000008,18.6084
E06000002,E09000009,8.5902
E06000002,E09000010,8.0428
E06000002,E09000011,11.8872
E06000002,E09000012,8.9977
E06000002,E09000013,6.124700000000001
E06000002,E09000014,8.0077
E06000002,E09000015,10.6584
E06000002,E09000016,9.1389
E06000002,E09000017,15.9312
E06000002,E09000018,13.4148
E06000002,E09000019,7.9352
E06000002,E09000020,7.0258
E06000002,E09000021,5.3971
E06000002,E09000022,12.1265
E06000002,E09000023,1.3356
E06000002,E09000024,10.291599999999999
E06000002,E09000025,25.5402
E06000002,E09000026,18.0481
E06000002,E09000028,17.561799999999998
E06000002,E09000029,3.8829000000000002
E06000002,E09000030,5.993099999999999
E06000002,E09000031,7.4732
E06000002,E09000032,6.421799999999999
E06000002,E09000033,7.0143
E06000002,W06000001,1.2206
E06000002,W06000003,2.4646999999999997
E06000002,W06000004,1.2625
E06000002,W06000008,1.1621
E06000002,W06000009,1.1436
E06000002,W06000011,4.1585
E06000002,W06000012,1.3437
E06000002,W06000013,1.3858
E06000002,W06000015,12.0846
E06000002,W06000016,4.2143999999999995
E06000002,W06000021,3.5078
E06000002,W06000022,5.2134
E06000002,W06000023,5.7293
E06000003,E06000001,69.0831
E06000003,E06000002,941.1389999999999
E06000003,E06000003,3994.251630982555
E06000003,E06000004,451.7666
E06000003,E06000005,94.8796
E06000003,E06000006,4.4714
E06000003,E06000007,8.8344
E06000003,E06000008,2.6178
E06000003,E06000009,5.5214
E06000003,E06000010,6.335
E06000003,E06000011,17.6643
E06000003,E06000012,4.980300000000001
E06000003,E06000013,4.4756
E06000003,E06000014,28.1131
E06000003,E06000015,3.8112
E06000003,E06000016,2.5385999999999997
E06000003,E06000018,2.7298999999999998
E06000003,E06000019,1.223
E06000003,E06000020,3.9830999999999994
E06000003,E06000021,1.2873
E06000003,E06000022,1.2668
E06000003,E06000023,2.5228
E06000003,E06000025,2.5610999999999997
E06000003,E06000026,3.7619999999999996
E06000003,E06000030,3.8297
E06000003,E06000031,2.652
E06000003,E06000035,6.1761
E06000003,E06000038,1.2107
E06000003,E06000039,2.4431
E06000003,E06000040,1.1876
E06000003,E06000042,2.5192
E06000003,E06000043,3.7731000000000003
E06000003,E06000044,2.4222
E06000003,E06000045,1.2345
E06000003,E06000046,3.8235
E06000003,E06000047,219.10879999999997
E06000003,E06000049,2.8239
E06000003,E06000050,11.523299999999999
E06000003,E06000051,5.237500000000001
E06000003,E06000052,7.2669
E06000003,E06000053,1.7271
E06000003,E06000054,5.141
E06000003,E06000055,6.4184
E06000003,E06000057,29.1629
E06000003,E06000058,5.5075
E06000003,E06000059,9.686399999999999
E06000003,E06000060,3.6128
E06000003,E06000061,2.4791999999999996
E06000003,E06000062,4.9656
E06000003,E06000063,15.4563
E06000003,E06000064,1.2988
E06000003,E06000065,344.44230000000005
E06000003,E06000066,7.2386
E06000003,E07000008,2.66
E06000003,E07000010,2.6761999999999997
E06000003,E07000011,2.5378
E06000003,E07000012,2.6631
E06000003,E07000032,3.8541000000000003
E06000003,E07000033,7.2092
E06000003,E07000034,2.9192
E06000003,E07000036,5.1732
E06000003,E07000037,1.4696
E06000003,E07000038,1.5246
E06000003,E07000039,3.8413
E06000003,E07000042,1.2599
E06000003,E07000043,1.2257
E06000003,E07000045,2.5558
E06000003,E07000046,1.264
E06000003,E07000061,1.252
E06000003,E07000062,1.256
E06000003,E07000063,1.232
E06000003,E07000064,3.724
E06000003,E07000065,2.511
E06000003,E07000068,1.2771
E06000003,E07000070,1.2613
E06000003,E07000072,1.2622
E06000003,E07000073,1.2763
E06000003,E07000076,5.3586
E06000003,E07000078,2.6148
E06000003,E07000081,1.3638
E06000003,E07000082,1.2885
E06000003,E07000084,3.6394
E06000003,E07000087,2.4574
E06000003,E07000088,1.2675
E06000003,E07000090,1.237
E06000003,E07000091,1.2213
E06000003,E07000093,4.9437999999999995
E06000003,E07000094,3.7531
E06000003,E07000095,1.2049
E06000003,E07000096,1.2056
E06000003,E07000099,1.2135
E06000003,E07000105,3.0743
E06000003,E07000110,4.6206
E06000003,E07000112,3.1113
E06000003,E07000113,1.5499
E06000003,E07000115,1.5271
E06000003,E07000118,3.3181
E06000003,E07000119,1.382
E06000003,E07000120,3.8676
E06000003,E07000121,4.1582
E06000003,E07000122,5.095000000000001
E06000003,E07000123,4.1312999999999995
E06000003,E07000127,4.9532
E06000003,E07000128,1.3933
E06000003,E07000129,1.2561
E06000003,E07000130,5.1123
E06000003,E07000132,1.246
E06000003,E07000137,9.8656
E06000003,E07000138,1.4247
E06000003,E07000139,3.0229999999999997
E06000003,E07000140,2.5304
E06000003,E07000141,2.8844
E06000003,E07000142,4.3304
E06000003,E07000143,1.2254
E06000003,E07000145,2.4309
E06000003,E07000147,1.2676
E06000003,E07000149,2.4071
E06000003,E07000170,5.384399999999999
E06000003,E07000171,5.4132
E06000003,E07000172,1.3501
E06000003,E07000173,1.3407
E06000003,E07000174,2.7113
E06000003,E07000176,2.678
E06000003,E07000177,1.2575
E06000003,E07000178,6.0972
E06000003,E07000192,2.4176
E06000003,E07000194,1.2358
E06000003,E07000195,1.3434
E06000003,E07000202,1.0987
E06000003,E07000203,1.1319
E06000003,E07000210,1.446
E06000003,E07000212,1.3938
